 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,797,128.2254,38.7624,26.1793,101.5343,0.6091,1.4807,0.6754,0.8725
2,459,80.4264,26.0004,22.4772,27.9464,0.8917,1.1567,0.8645,0.9513
3,407,75.0122,23.9447,21.6419,69.3226,0.9090,1.1064,0.9038,0.9378
4,422,74.7696,23.7576,22.6162,159.9568,0.9486,1.0505,0.9520,0.9591
5,448,78.1838,24.3395,23.4357,161.8557,0.9210,1.0386,0.9629,0.9481
6,453,87.2548,26.7773,21.5398,77.3462,0.7477,1.2432,0.8044,0.9060
7,459,82.0833,27.9907,20.8790,9.2392,0.8561,1.3406,0.7459,0.9329
8,164,53.6985,19.0862,10.9404,110.9199,0.7147,1.7446,0.5732,0.8865
9,473,79.0122,26.5681,22.6679,5.2613,0.9521,1.1721,0.8532,0.9624
10,509,84.1838,28.8997,22.4251,8.3041,0.9025,1.2887,0.7760,0.9613
11,475,80.6690,25.9867,23.2730,154.6295,0.9173,1.1166,0.8956,0.9443
12,517,93.1543,27.3777,24.0438,117.2160,0.7487,1.1387,0.8782,0.9031
13,489,83.5980,27.4792,22.6576,14.3899,0.8793,1.2128,0.8245,0.9404
14,503,83.5980,26.6465,24.0346,14.7967,0.9045,1.1087,0.9020,0.9482
15,331,67.3553,21.2123,19.8679,115.7496,0.9168,1.0677,0.9366,0.9390
16,434,79.0122,26.4608,20.8832,32.7323,0.8736,1.2671,0.7892,0.9384
17,395,73.5980,22.8804,21.9808,44.7084,0.9164,1.0409,0.9607,0.9450
18,425,76.1838,23.4628,23.0632,151.5999,0.9202,1.0173,0.9830,0.9487
19,474,83.8406,25.4532,23.7108,158.5620,0.8474,1.0735,0.9315,0.9312
20,427,81.4975,27.1389,20.0330,177.4335,0.8079,1.3547,0.7382,0.9242
21,445,77.5980,24.8141,22.8334,18.9975,0.9287,1.0867,0.9202,0.9509
22,112,38.6274,14.7014,9.7000,148.5019,0.9433,1.5156,0.6598,0.9412
23,493,85.4975,26.2425,23.9195,6.7093,0.8475,1.0971,0.9115,0.9328
24,1090,134.4680,46.8233,29.6397,8.4540,0.7575,1.5797,0.6330,0.9348
25,445,77.3553,24.1816,23.4307,26.0001,0.9345,1.0320,0.9689,0.9580
26,514,91.5980,35.1171,18.6361,1.8809,0.7698,1.8844,0.5307,0.9354
27,700,98.4680,31.6110,28.1948,32.2353,0.9072,1.1212,0.8919,0.9479
28,361,73.5980,23.8636,19.2611,175.8719,0.8375,1.2390,0.8071,0.9197
29,477,81.2548,25.7529,23.5832,174.8116,0.9079,1.0920,0.9157,0.9408
30,392,73.6985,22.7175,21.9703,13.6013,0.9069,1.0340,0.9671,0.9584
31,466,80.4264,24.9026,23.8260,20.5893,0.9053,1.0452,0.9568,0.9414
32,462,79.8406,25.0161,23.5143,166.9505,0.9108,1.0639,0.9400,0.9458
33,482,82.1838,26.6673,23.0133,7.1432,0.8968,1.1588,0.8630,0.9479
34,397,73.0122,23.0744,21.9063,17.7342,0.9359,1.0533,0.9494,0.9464
35,553,87.0122,27.9526,25.1891,5.9856,0.9179,1.1097,0.9011,0.9551
36,493,81.8406,26.1933,23.9644,171.4025,0.9250,1.0930,0.9149,0.9490
37,443,79.3553,25.0532,22.5139,171.6579,0.8840,1.1128,0.8986,0.9396
38,592,99.1543,33.0798,22.7860,175.1819,0.7567,1.4518,0.6888,0.9011
