 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,118,60.1838,16.2971,9.2190,107.6476,0.4094,1.7678,0.5657,0.6277
2,1454,165.1960,52.4684,35.2839,71.2021,0.6695,1.4870,0.6725,0.8828
3,485,82.6690,27.7283,22.2704,4.2020,0.8918,1.2451,0.8032,0.9417
4,156,70.3259,21.5320,9.2247,172.6016,0.3964,2.3342,0.4284,0.6070
5,403,74.1838,23.4061,21.9223,60.1489,0.9202,1.0677,0.9366,0.9482
6,544,89.2548,27.3215,25.3515,63.4729,0.8581,1.0777,0.9279,0.9371
7,490,87.8406,26.7300,23.3404,58.9901,0.7980,1.1452,0.8732,0.9125
8,533,87.4975,26.3459,25.7588,37.3085,0.8749,1.0228,0.9777,0.9434
9,485,86.6690,27.3216,22.6020,23.2151,0.8114,1.2088,0.8273,0.9221
10,90,36.7279,13.1291,8.7281,176.0160,0.8384,1.5042,0.6648,0.9474
11,576,94.8112,27.7901,26.3902,27.3262,0.8052,1.0530,0.9496,0.9121
12,529,89.4975,29.2986,22.9889,147.1680,0.8299,1.2745,0.7846,0.9413
13,534,90.9117,28.9136,23.5153,125.8136,0.8119,1.2296,0.8133,0.9328
14,482,81.3553,25.7611,23.8228,34.2670,0.9151,1.0814,0.9248,0.9602
15,508,85.2548,26.3443,24.5521,5.4800,0.8783,1.0730,0.9320,0.9399
16,438,81.7401,25.8111,21.6062,175.4230,0.8238,1.1946,0.8371,0.9260
17,2651,231.6224,68.7549,49.0926,45.7487,0.6210,1.4005,0.7140,0.8502
18,485,82.3259,26.1857,23.5824,6.5427,0.8992,1.1104,0.9006,0.9381
19,555,91.2548,31.6910,22.2981,174.7671,0.8375,1.4212,0.7036,0.9367
20,465,79.8406,27.9395,21.1907,65.0484,0.9167,1.3185,0.7584,0.9578
21,555,89.0122,27.6555,25.5518,158.2896,0.8802,1.0823,0.9239,0.9544
22,438,83.4975,25.7262,21.6775,112.7427,0.7895,1.1868,0.8426,0.9116
23,549,90.6690,29.7503,23.4958,1.5445,0.8392,1.2662,0.7898,0.9377
24,519,84.6690,26.4907,24.9451,158.0014,0.9098,1.0620,0.9417,0.9471
25,434,80.1838,24.7630,22.3150,163.9921,0.8483,1.1097,0.9011,0.9293
26,1021,133.6396,45.0907,28.8303,80.4687,0.7184,1.5640,0.6394,0.9051
27,438,80.1838,24.4243,22.8330,49.2762,0.8561,1.0697,0.9348,0.9460
28,576,98.3259,29.7133,24.6820,86.6723,0.7487,1.2038,0.8307,0.9209
29,521,87.0122,26.1984,25.3205,16.4214,0.8647,1.0347,0.9665,0.9329
30,426,77.5980,23.7098,22.8766,41.7243,0.8890,1.0364,0.9649,0.9332
31,534,87.2548,27.7086,24.5378,171.3348,0.8814,1.1292,0.8856,0.9426
32,613,104.6690,28.8021,27.0986,20.8574,0.7031,1.0629,0.9409,0.8807
33,580,97.6396,31.5581,23.4006,0.8806,0.7645,1.3486,0.7415,0.9070
34,477,85.2548,29.3855,20.6678,178.8463,0.8247,1.4218,0.7033,0.9253
35,1016,132.0244,48.2053,26.8355,63.6316,0.7325,1.7963,0.5567,0.9100
36,491,89.2548,27.9776,22.3451,178.0865,0.7745,1.2521,0.7987,0.9101
37,438,78.1838,24.6321,22.6403,65.3928,0.9004,1.0880,0.9191,0.9440
38,404,75.2548,25.2579,20.3655,43.1557,0.8964,1.2402,0.8063,0.9472
39,417,78.7696,25.0590,21.1876,100.6106,0.8446,1.1827,0.8455,0.9298
40,724,106.6690,34.8228,26.4719,102.7802,0.7996,1.3155,0.7602,0.9217
41,419,90.0833,27.6254,19.3115,96.9498,0.6488,1.4305,0.6990,0.8439
42,500,89.8406,28.5456,22.3019,159.7095,0.7785,1.2800,0.7813,0.9242
43,871,124.8112,43.1590,25.6955,80.9912,0.7026,1.6796,0.5954,0.8883
44,484,84.0833,26.1396,23.5752,19.3734,0.8603,1.1088,0.9019,0.9219
45,418,75.8406,23.6004,22.5511,86.3920,0.9132,1.0465,0.9555,0.9383
46,489,82.6690,25.2866,24.6223,109.4637,0.8992,1.0270,0.9737,0.9377
47,456,83.0122,26.5097,21.9013,0.1746,0.8316,1.2104,0.8262,0.9325
48,422,84.5685,28.8707,18.6108,20.6727,0.7415,1.5513,0.6446,0.8856
49,678,99.4975,32.5018,26.5603,45.1261,0.8606,1.2237,0.8172,0.9391
50,462,82.0833,24.7468,23.7702,137.8749,0.8617,1.0411,0.9605,0.9249
51,458,78.7696,25.6542,22.7309,37.0729,0.9276,1.1286,0.8860,0.9612
52,507,84.0833,26.8877,24.0084,160.1222,0.9012,1.1199,0.8929,0.9406
53,409,80.6690,26.6860,19.5142,26.1100,0.7898,1.3675,0.7313,0.9119
54,561,94.9117,29.5392,24.1810,108.3658,0.7826,1.2216,0.8186,0.9197
55,520,85.2548,27.8753,23.7517,4.0045,0.8990,1.1736,0.8521,0.9446
56,364,73.2132,24.6909,18.7704,0.6360,0.8534,1.3154,0.7602,0.9630
57,106,61.0122,18.3423,7.3581,171.7008,0.3578,2.4928,0.4012,0.5745
58,660,96.9117,33.4656,25.1105,174.8707,0.8831,1.3327,0.7503,0.9517
59,507,92.0833,30.7278,21.0081,173.4449,0.7514,1.4627,0.6837,0.9078
60,1301,142.5097,45.6269,36.3050,68.1773,0.8050,1.2568,0.7957,0.9250
61,102,59.5980,17.6092,7.3752,12.3244,0.3609,2.3876,0.4188,0.5528
62,472,82.6690,26.2359,22.9064,76.9809,0.8679,1.1453,0.8731,0.9402
63,122,51.4558,18.6227,8.3412,16.5443,0.5790,2.2326,0.4479,0.8714
64,487,81.5980,25.4956,24.3206,23.3471,0.9191,1.0483,0.9539,0.9530
65,931,131.0538,46.7204,25.3719,20.0042,0.6812,1.8414,0.5431,0.9200
66,538,86.9117,26.5630,25.7879,169.1594,0.8950,1.0301,0.9708,0.9414
67,505,83.8406,27.0685,23.7540,178.6441,0.9028,1.1395,0.8776,0.9448
68,475,84.9117,26.3151,22.9826,21.3197,0.8279,1.1450,0.8734,0.9268
69,484,82.0833,27.2475,22.6166,13.9025,0.9027,1.2048,0.8300,0.9426
70,485,83.8406,25.1879,24.5166,92.0357,0.8670,1.0274,0.9733,0.9363
71,530,86.9117,27.9742,24.1229,176.2280,0.8817,1.1597,0.8623,0.9397
72,461,87.1543,28.8607,20.3378,11.6242,0.7627,1.4191,0.7047,0.8815
73,518,90.4264,31.4104,20.9974,97.1330,0.7961,1.4959,0.6685,0.9152
74,353,70.1838,21.7795,20.6366,151.6029,0.9006,1.0554,0.9475,0.9401
75,481,90.3259,26.7841,22.8654,28.1314,0.7409,1.1714,0.8537,0.9041
76,1085,141.2965,48.3555,28.5690,78.2744,0.6829,1.6926,0.5908,0.8854
77,384,76.1838,26.2757,18.6075,3.9914,0.8314,1.4121,0.7082,0.9493
78,609,98.3259,31.1462,24.8956,11.2140,0.7916,1.2511,0.7993,0.9276
79,920,128.7107,38.2505,30.6239,47.8060,0.6979,1.2490,0.8006,0.8716
80,453,79.8406,25.1927,22.8947,178.8432,0.8930,1.1004,0.9088,0.9418
81,510,87.0122,27.9305,23.2488,74.4804,0.8465,1.2014,0.8324,0.9401
82,463,79.5980,25.1928,23.4000,4.1934,0.9183,1.0766,0.9288,0.9527
83,457,84.0833,24.5953,23.6578,81.8861,0.8123,1.0396,0.9619,0.9131
84,2690,227.3381,60.7382,56.3898,145.7787,0.6541,1.0771,0.9284,0.8872
85,564,91.4975,29.5926,24.2664,3.6737,0.8466,1.2195,0.8200,0.9246
86,466,79.5980,24.8941,23.8341,161.3279,0.9243,1.0445,0.9574,0.9520
87,1040,130.9533,45.3566,29.1946,42.0551,0.7621,1.5536,0.6437,0.9024
88,357,75.1127,24.9186,18.2412,175.7729,0.7952,1.3661,0.7320,0.9177
89,507,92.4264,29.1833,22.1199,13.6827,0.7458,1.3193,0.7580,0.9070
90,448,87.2548,27.1279,21.0267,159.6178,0.7395,1.2902,0.7751,0.8951
91,621,96.6690,30.9428,25.5530,120.6511,0.8351,1.2109,0.8258,0.9283
92,778,105.4975,34.8364,28.4352,80.9475,0.8784,1.2251,0.8162,0.9494
93,571,95.7401,32.7388,22.2067,178.2773,0.7828,1.4743,0.6783,0.9121
94,483,84.0833,26.9196,22.8449,19.5036,0.8585,1.1784,0.8486,0.9360
95,448,78.7696,25.0717,22.7512,96.1503,0.9073,1.1020,0.9074,0.9573
96,503,87.4975,27.1188,23.6161,30.7835,0.8256,1.1483,0.8708,0.9112
97,92,46.8701,11.4055,10.2703,38.7660,0.5263,1.1105,0.9005,0.7302
98,375,72.4264,22.9932,20.7655,126.0679,0.8984,1.1073,0.9031,0.9305
99,623,98.6690,33.2646,23.8460,88.2483,0.8041,1.3950,0.7169,0.9182
100,523,86.0833,26.7282,24.9139,179.1039,0.8869,1.0728,0.9321,0.9373
101,478,82.9117,25.7596,23.6265,155.4936,0.8738,1.0903,0.9172,0.9300
102,483,81.5980,27.0049,22.7727,12.0733,0.9116,1.1858,0.8433,0.9508
103,396,74.5269,23.7475,21.2319,105.7006,0.8959,1.1185,0.8941,0.9519
104,405,78.4264,24.4912,21.0550,104.4469,0.8274,1.1632,0.8597,0.9364
105,447,81.8406,25.4487,22.3641,10.6454,0.8386,1.1379,0.8788,0.9198
106,535,87.8406,26.6487,25.5616,138.9086,0.8713,1.0425,0.9592,0.9411
107,340,71.8406,23.8736,18.1330,110.7377,0.8278,1.3166,0.7595,0.9128
108,494,84.0833,26.1714,24.0331,115.3909,0.8780,1.0890,0.9183,0.9347
109,531,93.1543,28.1149,24.0474,155.9479,0.7690,1.1691,0.8553,0.9187
110,462,83.8406,26.0444,22.5859,140.6791,0.8259,1.1531,0.8672,0.9203
111,395,74.4264,23.1892,21.6881,164.7128,0.8961,1.0692,0.9353,0.9327
112,1222,138.0244,45.6412,34.0898,139.3913,0.8061,1.3389,0.7469,0.9328
113,2222,204.0244,54.4610,51.9479,80.9768,0.6708,1.0484,0.9539,0.8812
114,455,80.0833,24.3500,23.7915,8.5428,0.8915,1.0235,0.9771,0.9459
115,961,131.5391,39.1141,31.2824,53.4921,0.6979,1.2504,0.7998,0.9179
116,718,126.2254,36.6081,24.9722,69.7809,0.5663,1.4660,0.6821,0.8118
117,591,96.3259,31.1636,24.1463,51.9353,0.8004,1.2906,0.7748,0.9242
118,559,94.9117,31.0096,22.9523,99.4121,0.7798,1.3510,0.7402,0.9075
119,985,123.3970,40.8119,30.7298,25.7673,0.8129,1.3281,0.7530,0.9421
120,618,101.9828,31.8114,24.7352,54.7693,0.7467,1.2861,0.7776,0.9102
121,409,75.0122,23.4570,22.2004,156.3946,0.9134,1.0566,0.9464,0.9501
122,449,81.1543,26.8483,21.2931,124.2545,0.8567,1.2609,0.7931,0.9383
123,1581,167.7817,58.4940,34.4137,94.2916,0.7058,1.6997,0.5883,0.9003
124,570,99.1543,31.0364,23.3837,3.1914,0.7286,1.3273,0.7534,0.8927
125,438,78.4264,24.8564,22.4360,3.2642,0.8949,1.1079,0.9026,0.9389
126,112,50.5269,18.6500,7.6463,41.7055,0.5513,2.4391,0.4100,0.7724
127,522,94.5685,28.9401,22.9658,173.0118,0.7335,1.2601,0.7936,0.8855
128,596,98.6690,32.8053,23.1320,105.4336,0.7693,1.4182,0.7051,0.9099
129,503,86.6690,29.5888,21.6446,106.9875,0.8415,1.3670,0.7315,0.9255
130,579,96.5685,32.3242,22.8067,11.6663,0.7802,1.4173,0.7056,0.9089
131,504,87.8406,26.4857,24.2286,133.4086,0.8208,1.0932,0.9148,0.9231
132,418,77.3553,25.0230,21.2690,80.5982,0.8778,1.1765,0.8500,0.9446
133,707,103.7401,31.5325,28.5477,152.5843,0.8255,1.1046,0.9053,0.9248
134,556,90.4264,30.6024,23.1328,175.8697,0.8545,1.3229,0.7559,0.9392
135,311,75.2132,21.1502,18.7221,149.6145,0.6908,1.1297,0.8852,0.8711
136,368,73.6985,24.1393,19.4104,84.2790,0.8514,1.2436,0.8041,0.9472
137,490,89.0122,26.0861,23.9165,4.0157,0.7772,1.0907,0.9168,0.9082
138,459,81.1127,26.0510,22.4336,8.3673,0.8767,1.1612,0.8611,0.9633
139,93,54.7279,25.1848,4.7017,89.1159,0.3902,5.3566,0.1867,0.7949
140,403,77.2132,25.2691,20.3060,94.6953,0.8494,1.2444,0.8036,0.9630
141,410,78.5269,24.6439,21.1828,4.6168,0.8355,1.1634,0.8596,0.9404
142,421,75.5980,23.3682,22.9386,79.5508,0.9257,1.0187,0.9816,0.9461
143,461,80.1838,25.2837,23.2151,155.6702,0.9010,1.0891,0.9182,0.9427
144,402,74.2843,24.1691,21.1775,179.4077,0.9155,1.1413,0.8762,0.9663
145,503,84.6690,25.9391,24.6901,159.2907,0.8817,1.0506,0.9518,0.9428
146,102,53.9411,19.7149,6.5874,14.7140,0.4405,2.9928,0.3341,0.6476
147,467,81.8406,25.1275,23.6634,29.7384,0.8762,1.0619,0.9417,0.9303
148,256,72.1838,20.8300,15.6481,121.1078,0.6174,1.3312,0.7512,0.8366
149,395,77.5980,24.9316,20.1724,103.4278,0.8243,1.2359,0.8091,0.9283
150,534,90.4264,26.7380,25.4286,78.2322,0.8207,1.0515,0.9510,0.9105
151,481,81.0122,24.8765,24.6187,172.2459,0.9210,1.0105,0.9896,0.9525
152,534,87.8406,26.8395,25.3325,19.0803,0.8697,1.0595,0.9439,0.9451
153,868,123.8823,43.0177,25.6911,102.4312,0.7107,1.6744,0.5972,0.9185
154,104,53.9411,19.0550,6.9492,166.9826,0.4492,2.7420,0.3647,0.6480
155,702,106.3259,32.2194,27.7415,131.1327,0.7803,1.1614,0.8610,0.9219
156,503,89.2548,26.8004,23.8967,27.3472,0.7934,1.1215,0.8917,0.9121
157,475,83.2548,24.7143,24.4712,104.1307,0.8612,1.0099,0.9902,0.9350
158,459,80.9117,25.0357,23.3433,178.0180,0.8810,1.0725,0.9324,0.9310
159,506,88.0833,26.5930,24.2267,119.1720,0.8195,1.0977,0.9110,0.9344
160,728,107.9828,33.9309,27.3179,94.6021,0.7846,1.2421,0.8051,0.9083
161,147,77.7401,20.5271,9.1180,173.2726,0.3057,2.2513,0.4442,0.4941
162,564,94.5685,27.9747,25.6699,78.6396,0.7925,1.0898,0.9176,0.9163
163,510,90.3259,29.3074,22.1566,160.6399,0.7855,1.3227,0.7560,0.9148
164,498,82.9117,25.5876,24.7805,15.1363,0.9103,1.0326,0.9685,0.9432
165,494,82.6690,25.5823,24.5866,163.6750,0.9083,1.0405,0.9611,0.9401
166,616,97.0538,31.5947,24.8243,20.8525,0.8218,1.2727,0.7857,0.9326
167,390,73.5980,23.2740,21.3356,30.5191,0.9048,1.0909,0.9167,0.9319
168,411,80.7696,26.4531,19.7823,179.2490,0.7917,1.3372,0.7478,0.9164
169,220,79.1543,20.6621,13.5568,175.3004,0.4412,1.5241,0.6561,0.6368
170,121,57.0122,20.8580,7.3862,152.1713,0.4678,2.8239,0.3541,0.8013
171,483,81.2548,25.8297,23.8088,169.2972,0.9193,1.0849,0.9218,0.9508
172,514,85.5980,26.2407,24.9400,148.1780,0.8815,1.0522,0.9504,0.9414
173,457,82.6690,25.0620,23.2173,115.4767,0.8403,1.0795,0.9264,0.9140
174,473,80.1838,24.9763,24.1125,66.9174,0.9245,1.0358,0.9654,0.9508
175,822,121.0538,39.7865,26.3055,15.4036,0.7049,1.5125,0.6612,0.9013
176,460,80.6690,24.9139,23.5085,111.0646,0.8883,1.0598,0.9436,0.9331
177,366,75.0122,25.2297,18.4705,159.8547,0.8174,1.3659,0.7321,0.9289
178,483,82.7696,26.1600,23.5082,55.7964,0.8860,1.1128,0.8986,0.9536
179,443,77.8406,24.3431,23.1706,140.3157,0.9188,1.0506,0.9518,0.9416
180,519,84.6690,26.5457,24.8933,9.9332,0.9098,1.0664,0.9378,0.9454
181,481,82.5269,27.2151,22.5033,173.4712,0.8875,1.2094,0.8269,0.9659
182,507,84.4264,26.7860,24.0996,21.5415,0.8938,1.1115,0.8997,0.9468
183,421,79.0122,23.9662,22.3662,84.9195,0.8474,1.0715,0.9332,0.9304
184,444,77.8406,25.5803,22.0997,123.1162,0.9208,1.1575,0.8639,0.9538
185,537,87.4975,28.0282,24.3943,104.8183,0.8814,1.1490,0.8703,0.9380
186,483,81.0122,25.4179,24.1945,1.5822,0.9248,1.0506,0.9519,0.9517
187,550,92.9117,28.1244,24.8994,166.0678,0.8006,1.1295,0.8853,0.9190
188,507,85.5980,27.6941,23.3094,178.6941,0.8695,1.1881,0.8417,0.9363
189,345,71.4975,24.2390,18.1224,138.0940,0.8481,1.3375,0.7477,0.9312
190,448,80.4264,25.2509,22.5897,35.8851,0.8703,1.1178,0.8946,0.9343
191,404,75.1127,23.1021,22.2659,167.5347,0.8998,1.0376,0.9638,0.9517
192,436,83.2548,27.9918,19.8320,97.1430,0.7905,1.4114,0.7085,0.9112
193,590,92.7696,28.5302,26.3304,142.3083,0.8615,1.0835,0.9229,0.9516
194,375,72.4264,22.7048,21.0292,144.4116,0.8984,1.0797,0.9262,0.9363
195,712,105.7817,31.5153,28.7653,126.5491,0.7996,1.0956,0.9127,0.9105
196,464,84.4680,28.2971,20.8778,143.3036,0.8172,1.3554,0.7378,0.9116
197,454,92.6690,30.0663,19.2259,5.0917,0.6643,1.5638,0.6394,0.8672
198,510,86.0833,25.7445,25.2229,162.1789,0.8649,1.0207,0.9797,0.9384
199,507,85.4975,26.1920,24.6462,39.6735,0.8716,1.0627,0.9410,0.9363
200,127,59.5563,27.3424,5.9140,1.1196,0.4499,4.6234,0.2163,0.8411
201,81,42.8701,17.3706,5.9372,30.4045,0.5538,2.9257,0.3418,0.8182
202,499,85.6985,27.7024,22.9347,172.1904,0.8538,1.2079,0.8279,0.9643
203,708,132.0244,36.6517,24.5952,124.9033,0.5104,1.4902,0.6711,0.7398
204,500,84.0833,26.5836,23.9478,3.0162,0.8887,1.1101,0.9008,0.9434
205,709,103.0122,31.0805,29.0448,62.9322,0.8396,1.0701,0.9345,0.9479
206,128,65.5980,21.5416,7.5656,142.6828,0.3738,2.8473,0.3512,0.6229
207,500,82.9117,25.9199,24.5610,95.7416,0.9140,1.0553,0.9476,0.9461
208,486,83.4975,25.4056,24.3566,160.4884,0.8760,1.0431,0.9587,0.9373
209,997,123.9828,42.3431,29.9794,90.2772,0.8150,1.4124,0.7080,0.9326
210,400,77.1543,27.0941,18.7973,112.9000,0.8444,1.4414,0.6938,0.9324
211,96,46.7279,21.7646,5.6160,179.9792,0.5525,3.8754,0.2580,0.9014
212,505,83.8406,25.8743,24.8503,0.2447,0.9028,1.0412,0.9604,0.9422
213,516,86.0833,28.3331,23.1881,0.6184,0.8750,1.2219,0.8184,0.9314
214,115,57.9411,22.1142,6.6212,166.4857,0.4305,3.3399,0.2994,0.6825
215,1077,134.1249,42.5462,32.2303,149.5702,0.7523,1.3201,0.7575,0.9066
216,101,49.6985,15.8563,8.1102,38.5375,0.5139,1.9551,0.5115,0.6871
217,461,86.4264,30.0448,19.5363,163.3223,0.7756,1.5379,0.6502,0.9466
218,423,80.1838,25.8706,20.8183,11.1055,0.8268,1.2427,0.8047,0.9246
219,698,109.1543,32.6620,27.2096,57.3093,0.7362,1.2004,0.8331,0.9053
220,479,84.5269,24.8593,24.5334,71.1295,0.8425,1.0133,0.9869,0.9551
221,527,86.3259,28.3791,23.6441,166.2836,0.8887,1.2003,0.8332,0.9386
222,468,81.0122,27.9659,21.3072,174.8594,0.8961,1.3125,0.7619,0.9512
223,454,82.3259,27.8775,20.7354,55.1686,0.8418,1.3444,0.7438,0.9284
224,437,77.0122,24.6771,22.5475,173.8002,0.9259,1.0944,0.9137,0.9510
225,545,92.6690,28.7442,24.1411,74.9487,0.7975,1.1907,0.8399,0.9160
226,574,97.7401,28.0290,26.0744,70.9192,0.7551,1.0750,0.9303,0.8906
227,629,100.5685,32.2511,24.8322,10.1604,0.7815,1.2988,0.7700,0.9083
228,429,81.4975,26.5205,20.5961,60.2773,0.8117,1.2876,0.7766,0.9118
229,1241,141.1960,41.6166,37.9678,156.2130,0.7822,1.0961,0.9123,0.9265
230,853,118.2254,37.8003,28.7318,78.2304,0.7669,1.3156,0.7601,0.9099
231,549,89.7401,28.0948,24.8803,0.8708,0.8567,1.1292,0.8856,0.9329
232,729,106.1249,31.1625,29.7855,12.7614,0.8134,1.0462,0.9558,0.9170
233,156,66.6690,22.0974,8.9886,11.1092,0.4410,2.4584,0.4068,0.6842
234,125,55.5980,15.9613,9.9713,87.2330,0.5082,1.6007,0.6247,0.6887
235,405,75.0122,24.8503,20.7507,179.4106,0.9045,1.1976,0.8350,0.9386
236,856,117.8823,42.2409,25.8018,114.1415,0.7741,1.6371,0.6108,0.9289
237,636,101.3970,32.1874,25.1583,167.2967,0.7774,1.2794,0.7816,0.9125
238,621,99.1543,30.9384,25.5567,95.3061,0.7937,1.2106,0.8261,0.9207
239,106,51.6985,18.4571,7.3123,23.6748,0.4984,2.5241,0.3962,0.6773
240,177,76.0833,22.1164,10.1899,175.5764,0.3842,2.1704,0.4607,0.6401
241,870,117.1543,42.1945,26.2527,97.6772,0.7965,1.6072,0.6222,0.9467
242,496,85.8406,26.0510,24.2419,51.8153,0.8459,1.0746,0.9306,0.9367
243,533,88.8112,27.2696,24.8862,23.5668,0.8492,1.0958,0.9126,0.9302
244,724,111.0538,36.3233,25.3784,39.3652,0.7377,1.4313,0.6987,0.9118
245,558,98.1838,33.2920,21.3405,96.9646,0.7274,1.5600,0.6410,0.9133
246,340,72.0416,24.1967,17.8909,91.7098,0.8232,1.3525,0.7394,0.9392
247,456,78.4264,25.0154,23.2096,174.7127,0.9316,1.0778,0.9278,0.9490
248,508,84.4264,26.6831,24.2403,113.4442,0.8956,1.1008,0.9085,0.9469
249,697,106.0833,34.1238,26.0067,88.8341,0.7783,1.3121,0.7621,0.9287
250,418,88.4264,26.0682,20.4163,58.2969,0.6718,1.2768,0.7832,0.8951
251,86,45.7990,18.3608,5.9637,95.5362,0.5152,3.0787,0.3248,0.8350
252,501,86.5685,26.8938,23.7190,102.8805,0.8401,1.1338,0.8820,0.9167
253,645,100.9117,31.7504,25.8655,116.2158,0.7960,1.2275,0.8147,0.9382
254,506,83.8406,25.8859,24.8884,158.7143,0.9046,1.0401,0.9615,0.9432
255,370,73.9411,24.7130,19.0628,101.5694,0.8504,1.2964,0.7714,0.9355
